월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2022-05,동수별,용도별,교육및사회,509,509,509,0,0,0
2022-05,동수별,용도별,기타,2597,2597,2597,0,0,0
2022-05,연면적별,합계,합계,10958480,10958480,10958480,0,0,0
2022-05,연면적별,구조별,철근및철골조,10838136,10838136,10838136,0,0,0
2022-05,연면적별,구조별,조적조,11382,11382,11382,0,0,0
2022-05,연면적별,구조별,목조,96323,96323,96323,0,0,0
2022-05,연면적별,구조별,기타,12639,12639,12639,0,0,0
2022-05,연면적별,용도별,주거용,3241396,3241396,3241396,0,0,0
2022-05,연면적별,용도별,상업용,3289015,3289015,3289015,0,0,0
2022-05,연면적별,용도별,공업용,1641686,1641686,1641686,0,0,0
2022-05,연면적별,용도별,교육및사회,513387,513387,513387,0,0,0
2022-05,연면적별,용도별,기타,2272996,2272996,2272996,0,0,0
2022-06,동수별,합계,합계,14392,14392,14392,0,0,0
2022-06,동수별,구조별,철근및철골조,12936,12936,12936,0,0,0
2022-06,동수별,구조별,조적조,211,211,211,0,0,0
2022-06,동수별,구조별,목조,895,895,895,0,0,0
2022-06,동수별,구조별,기타,350,350,350,0,0,0
2022-06,동수별,용도별,주거용,5620,5620,5620,0,0,0
2022-06,동수별,용도별,상업용,4892,4892,4892,0,0,0
2022-06,동수별,용도별,공업용,1134,1134,1134,0,0,0
2022-06,동수별,용도별,교육및사회,428,428,428,0,0,0
2022-06,동수별,용도별,기타,2318,2318,2318,0,0,0
2022-06,연면적별,합계,합계,10139810,10139810,10139810,0,0,0
2022-06,연면적별,구조별,철근및철골조,9984380,9984380,9984380,0,0,0
2022-06,연면적별,구조별,조적조,12618,12618,12618,0,0,0
2022-06,연면적별,구조별,목조,82364,82364,82364,0,0,0
2022-06,연면적별,구조별,기타,60448,60448,60448,0,0,0
2022-06,연면적별,용도별,주거용,3387540,3387540,3387540,0,0,0
2022-06,연면적별,용도별,상업용,2943073,2943073,2943073,0,0,0
2022-06,연면적별,용도별,공업용,1266666,1266666,1266666,0,0,0
2022-06,연면적별,용도별,교육및사회,576792,576792,576792,0,0,0
2022-06,연면적별,용도별,기타,1965739,1965739,1965739,0,0,0
