,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,연면적별,13수주량
63,1636800,20.761353383458648,2.9911278195488724,73.04872180451129,0.0,0.5,2533470.1,1550070
64,1773000,22.42436090225564,6.8801503759398495,80.55744360902256,0.0,0.5,2533470.1,1397540
65,1787550,21.561804511278194,1.6708270676691728,77.37729323308271,0.0,0.5,2533470.1,1510000
66,1961070,22.064661654135335,2.062706766917293,79.47909774436091,0.0,0.5,2533470.1,1269600
67,1545000,23.266766917293236,21.02496240601504,84.01593984962406,0.0,0.5,2396185.5903225807,1011000
68,2011540,25.469323308270678,9.129473684210527,86.17082706766918,0.0,0.5,2373304.8387096776,1612000
69,2000700,26.497293233082704,2.6040601503759397,81.21804511278197,0.0,0.5,2373304.8387096776,1516800
70,1047000,27.46496240601504,0.1293233082706767,73.78105263157896,0.0,0.5,2373304.8387096776,1677550
71,1703000,27.405714285714286,6.430225563909774,80.81007518796991,0.0,0.75,2224626.870967742,1810000
72,1720800,26.904060150375944,3.827819548872181,78.75984962406015,0.0,0.75,2026389.5806451614,1420070
73,1870050,24.51398496240601,3.7914285714285714,79.57338345864662,0.0,0.75,2026389.5806451614,1531540
74,1871500,23.722706766917295,19.81248120300752,85.30857142857143,0.0,0.75,2026389.5806451614,2299100
75,1550070,23.61097744360902,8.333684210526316,86.4157894736842,0.0,0.75,2026389.5806451614,578600
76,1397540,21.686165413533836,9.248872180451128,83.713984962406,0.0,0.75,2659617.333333333,1222000
77,1510000,22.353533834586468,1.5822556390977442,80.38706766917292,0.0,0.75,2659617.333333333,1545000
78,1269600,21.58932330827068,6.979398496240601,78.3184962406015,0.0,0.75,2659617.333333333,1629800
79,1011000,20.665413533834588,1.0705263157894735,77.45308270676693,0.0,0.75,2659617.333333333,1556550
80,1612000,21.401654135338344,4.529624060150376,82.59218045112782,0.0,0.75,2633769.053763441,2220500
81,1516800,19.830827067669173,4.583007518796992,85.42796992481203,0.0,0.75,2623429.741935484,1256570
82,1677550,13.762857142857142,2.24406015037594,71.43082706766917,0.0,0.75,2623429.741935484,1857540
83,1810000,10.510075187969926,0.1645112781954887,71.65924812030076,0.0,0.75,2623429.741935484,2207700
84,1420070,12.335488721804511,0.0918796992481203,71.75939849624059,0.0,1.0,2634895.3870967743,539000
85,1531540,11.48436090225564,3.508270676691729,72.59984962406016,0.0,1.0,2663559.5,1442000
86,2299100,7.87624060150376,0.7664661654135339,69.97007518796993,0.0,1.0,2663559.5,1547800
87,578600,8.384360902255638,0.5541353383458646,72.02827067669173,0.0006015037593984857,1.0,2663559.5,1572000
88,1222000,6.007669172932331,3.1960902255639096,64.47443609022557,0.0,1.0,2663559.5,1967550
89,1545000,3.7034586466165416,0.23052631578947366,64.26616541353384,0.004661654135338328,1.0,3191259.5806451617,1625070
90,1629800,4.859849624060151,0.09984962406015037,69.05067669172932,0.0,1.0,3191259.5806451617,861000
91,1556550,3.0821052631578945,0.5111278195488721,66.74872180451128,0.193984962406015,1.0,3191259.5806451617,1405540
92,2220500,-1.1881203007518797,0.477593984962406,59.43458646616541,0.5781954887218045,1.0,3191259.5806451617,1286540
93,1256570,-0.5059649122807017,0.2326315789473684,61.18666666666667,0.44140350877192985,1.0,1367682.677419355,864000
