,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명,수주월
5567,2006700,PEMA063009000,5000,1627,8135000,2020-07-16,2020-07-19,PEMA-SR2000,2020-07
5568,2002200,PEMA063009000,5000,1791,8955000,2020-07-22,2020-07-25,PEMA-SR2000,2020-07
5569,2006300,PEMA063009000,5000,2046,10230000,2020-07-30,2020-08-02,PEMA-SR2000,2020-07
5570,2006300,PEMA063009000,5000,2188,10940000,2020-08-04,2020-08-07,PEMA-SR2000,2020-08
5571,2006612,PEMA063009000,3570,2265,8086050,2020-08-06,2020-08-09,PEMA-SR2000,2020-08
5590,2001400,PEMA063031400,5000,1216,6080000,2020-07-01,2020-07-04,PEMA-SR3000F,2020-07
5591,2003200,PEMA063031400,6000,2014,12084000,2020-07-29,2020-08-01,PEMA-SR3000F,2020-07
5601,2004100,PEMA013021700,10000,2449,24490000,2020-06-14,2020-06-17,CSA5000,2020-06
5602,2001500,PEMA013021700,10000,1217,12170000,2020-07-02,2020-07-05,CSA5000,2020-07
5603,2004100,PEMA013021700,10000,2449,24490000,2020-08-14,2020-08-17,CSA5000,2020-08
5621,2001800,PEMA013128700,10000,1220,12200000,2020-07-02,2020-07-05,CSA5000,2020-07
5622,2001700,PEMA013128700,10000,1432,14320000,2020-07-10,2020-07-13,CSA5000,2020-07
5623,2006800,PEMA013128700,10000,1841,18410000,2020-07-24,2020-07-27,CSA5000,2020-07
5640,2006100,PEMA023106900,10000,2683,26830000,2020-06-21,2020-06-24,CSA5000,2020-06
5641,2002000,PEMA023106900,10000,1221,12210000,2020-07-02,2020-07-05,CSA5000,2020-07
5642,2005800,PEMA023106900,10000,1473,14730000,2020-07-10,2020-07-13,CSA5000,2020-07
5643,2006100,PEMA023106900,10000,2683,26830000,2020-08-21,2020-08-24,CSA5000,2020-08
5660,2004700,PEMA013049303,7000,2456,17192000,2020-06-14,2020-06-17,PEMA-HR1000,2020-06
5661,2006200,PEMA013049303,7000,2613,18291000,2020-06-19,2020-06-22,PEMA-HR1000,2020-06
5662,2002300,PEMA013049303,7000,1224,8568000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5663,2002700,PEMA013049303,7000,1867,13069000,2020-07-24,2020-07-27,PEMA-HR1000,2020-07
5664,2004700,PEMA013049303,7000,2456,17192000,2020-08-14,2020-08-17,PEMA-HR1000,2020-08
5665,2006200,PEMA013049303,7000,2613,18291000,2020-08-19,2020-08-22,PEMA-HR1000,2020-08
5682,2002400,PEMA013078800,6000,1225,7350000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5683,2001500,PEMA013078800,6000,1714,10284000,2020-07-19,2020-07-22,PEMA-HR1000,2020-07
5696,2004300,PEMA013023013,5000,2239,11195000,2020-06-06,2020-06-09,PEMA-HR1000,2020-06
5697,2002500,PEMA013023013,5000,1226,6130000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5699,2004300,PEMA013023013,5000,2239,11195000,2020-08-06,2020-08-09,PEMA-HR1000,2020-08
5715,2004901,PEMA013032200,10000,2103,21030000,2020-06-01,2020-06-04,PEMA-HR1000,2020-06
5716,2005200,PEMA013032200,10000,2603,26030000,2020-06-19,2020-06-22,PEMA-HR1000,2020-06
5717,2002600,PEMA013032200,10000,1227,12270000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5718,2002700,PEMA013032200,10000,1654,16540000,2020-07-17,2020-07-20,PEMA-HR1000,2020-07
5719,2004901,PEMA013032200,10000,2103,21030000,2020-08-01,2020-08-04,PEMA-HR1000,2020-08
5720,2005200,PEMA013032200,10000,2603,26030000,2020-08-19,2020-08-22,PEMA-HR1000,2020-08
5739,2005000,PEMA013121600,10000,2175,21750000,2020-06-04,2020-06-07,PEMA-HR1000,2020-06
5740,2005800,PEMA013121600,10000,2609,26090000,2020-06-19,2020-06-22,PEMA-HR1000,2020-06
5741,2002700,PEMA013121600,10000,1228,12280000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5743,2005000,PEMA013121600,10000,2175,21750000,2020-08-04,2020-08-07,PEMA-HR1000,2020-08
5744,2005800,PEMA013121600,10000,2609,26090000,2020-08-19,2020-08-22,PEMA-HR1000,2020-08
5760,2002800,PEMA023058605,8000,1229,9832000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5769,2003000,PEMA033078012,10000,1231,12310000,2020-07-02,2020-07-05,PEMA-HR1000,2020-07
5779,2006200,PEMA053114500,4000,2258,9032000,2020-06-06,2020-06-09,PEMA-PCM2000,2020-06
5780,2006300,PEMA053114500,6000,2259,13554000,2020-06-06,2020-06-09,PEMA-PCM2000,2020-06
5781,2003200,PEMA053114500,7000,1233,8631000,2020-07-02,2020-07-05,PEMA-PCM2000,2020-07
5782,2006200,PEMA053114500,4000,2258,9032000,2020-08-06,2020-08-09,PEMA-PCM2000,2020-08
5783,2006300,PEMA053114500,6000,2259,13554000,2020-08-06,2020-08-09,PEMA-PCM2000,2020-08
5808,2007100,PEMA013129800,22000,2128,46816000,2020-06-01,2020-06-04,PEMA-PR1000,2020-06
5809,2007200,PEMA013129800,3000,2129,6387000,2020-06-01,2020-06-04,PEMA-PR1000,2020-06
5810,2007200,PEMA013129800,12500,2555,31937500,2020-06-15,2020-06-18,PEMA-PR1000,2020-06
5811,2007302,PEMA013129800,12500,2556,31950000,2020-06-15,2020-06-18,PEMA-PR1000,2020-06
5812,2003500,PEMA013129800,3000,1236,3708000,2020-07-02,2020-07-05,PEMA-PR1000,2020-07
5813,2003600,PEMA013129800,22000,1237,27214000,2020-07-02,2020-07-05,PEMA-PR1000,2020-07
5814,2003900,PEMA013129800,15000,1666,24990000,2020-07-17,2020-07-20,PEMA-PR1000,2020-07
5815,2004000,PEMA013129800,10000,1667,16670000,2020-07-17,2020-07-20,PEMA-PR1000,2020-07
5816,2007100,PEMA013129800,22000,2128,46816000,2020-08-01,2020-08-04,PEMA-PR1000,2020-08
5817,2007200,PEMA013129800,3000,2129,6387000,2020-08-01,2020-08-04,PEMA-PR1000,2020-08
5818,2007200,PEMA013129800,12500,2555,31937500,2020-08-15,2020-08-18,PEMA-PR1000,2020-08
5819,2007302,PEMA013129800,12500,2556,31950000,2020-08-15,2020-08-18,PEMA-PR1000,2020-08
5863,2007100,PEMA023024804,10000,2483,24830000,2020-06-14,2020-06-17,PEMA-PR2000,2020-06
5864,2007302,PEMA023024804,10000,2627,26270000,2020-06-19,2020-06-22,PEMA-PR2000,2020-06
5865,2004400,PEMA023024804,10000,2666,26660000,2020-06-19,2020-06-22,PEMA-PR2000,2020-06
5866,2003700,PEMA023024804,10000,1238,12380000,2020-07-02,2020-07-05,PEMA-PR2000,2020-07
5867,2004104,PEMA023024804,10000,1314,13140000,2020-07-05,2020-07-08,PEMA-PR2000,2020-07
5868,2003800,PEMA023024804,10000,1381,13810000,2020-07-08,2020-07-11,PEMA-PR2000,2020-07
5869,2005900,PEMA023024804,10000,1545,15450000,2020-07-14,2020-07-17,PEMA-PR2000,2020-07
5870,2005500,PEMA023024804,10000,1825,18250000,2020-07-23,2020-07-26,PEMA-PR2000,2020-07
5871,2002400,PEMA023024804,10000,2006,20060000,2020-07-29,2020-08-01,PEMA-PR2000,2020-07
5872,2002900,PEMA023024804,10000,2082,20820000,2020-07-31,2020-08-03,PEMA-PR2000,2020-07
5873,2007100,PEMA023024804,10000,2483,24830000,2020-08-14,2020-08-17,PEMA-PR2000,2020-08
5874,2007302,PEMA023024804,10000,2627,26270000,2020-08-19,2020-08-22,PEMA-PR2000,2020-08
5875,2004400,PEMA023024804,10000,2666,26660000,2020-08-19,2020-08-22,PEMA-PR2000,2020-08
5907,2002800,PEMA373048200,10000,2436,24360000,2020-06-13,2020-06-16,PEMA-SR2000,2020-06
5908,2004000,PEMA373048200,10000,1241,12410000,2020-07-02,2020-07-05,PEMA-SR2000,2020-07
5909,2003500,PEMA373048200,10000,2088,20880000,2020-07-31,2020-08-03,PEMA-SR2000,2020-07
5910,2002800,PEMA373048200,10000,2436,24360000,2020-08-13,2020-08-16,PEMA-SR2000,2020-08
5924,2006606,PEMA053021700,10000,2192,21920000,2020-06-04,2020-06-07,PEMA-SR3000F,2020-06
5925,2003700,PEMA053021700,10000,2587,25870000,2020-06-18,2020-06-21,PEMA-SR3000F,2020-06
5926,2004100,PEMA053021700,10000,1242,12420000,2020-07-02,2020-07-05,PEMA-SR3000F,2020-07
5927,2006606,PEMA053021700,10000,2192,21920000,2020-08-04,2020-08-07,PEMA-SR3000F,2020-08
5928,2003700,PEMA053021700,10000,2587,25870000,2020-08-18,2020-08-21,PEMA-SR3000F,2020-08
5941,2006609,PEMA023080100,6000,2335,14010000,2020-06-08,2020-06-11,PEMA-SR3000F,2020-06
5942,2004104,PEMA023080100,6000,1243,7458000,2020-07-02,2020-07-05,PEMA-SR3000F,2020-07
5943,2006609,PEMA023080100,6000,2335,14010000,2020-08-08,2020-08-11,PEMA-SR3000F,2020-08
5956,2001200,PEMA013118900,15000,2492,37380000,2020-06-14,2020-06-17,PEMA-580FX,2020-06
5958,2006500,PEMA013118900,15000,1835,27525000,2020-07-24,2020-07-27,PEMA-580FX,2020-07
5959,2001200,PEMA013118900,15000,2492,37380000,2020-08-14,2020-08-17,PEMA-580FX,2020-08
5979,2003600,PEMA013107101,10000,2231,22310000,2020-06-06,2020-06-09,PEMA-580FX,2020-06
5982,2006606,PEMA013107101,10000,1553,15530000,2020-07-15,2020-07-18,PEMA-580FX,2020-07
5983,2002600,PEMA013107101,15000,1937,29055000,2020-07-28,2020-07-31,PEMA-580FX,2020-07
5984,2003600,PEMA013107101,10000,2231,22310000,2020-08-06,2020-08-09,PEMA-580FX,2020-08
5985,2001600,PEMA013107101,10000,2638,26380000,2020-08-20,2020-08-23,PEMA-580FX,2020-08
6012,2003800,PEMA063069401,10000,2446,24460000,2020-06-13,2020-06-16,CSA5000,2020-06
6013,2005000,PEMA063069401,10000,2601,26010000,2020-06-19,2020-06-22,CSA5000,2020-06
6015,2006100,PEMA063069401,10000,1760,17600000,2020-07-21,2020-07-24,CSA5000,2020-07
6016,2003800,PEMA063069401,10000,2020,20200000,2020-07-30,2020-08-02,CSA5000,2020-07
6018,2003800,PEMA063069401,10000,2446,24460000,2020-08-13,2020-08-16,CSA5000,2020-08
6019,2005000,PEMA063069401,10000,2601,26010000,2020-08-19,2020-08-22,CSA5000,2020-08
6051,2007000,PEMA023007400,10000,2198,21980000,2020-06-05,2020-06-08,CSA5000,2020-06
6052,2004400,PEMA023007400,10000,2453,24530000,2020-06-14,2020-06-17,CSA5000,2020-06
6055,2001800,PEMA023007400,10000,1504,15040000,2020-07-12,2020-07-15,CSA5000,2020-07
6056,2004800,PEMA023007400,10000,1676,16760000,2020-07-17,2020-07-20,CSA5000,2020-07
6057,2007100,PEMA023007400,10000,1844,18440000,2020-07-24,2020-07-27,CSA5000,2020-07
6058,2007000,PEMA023007400,10000,2198,21980000,2020-08-05,2020-08-08,CSA5000,2020-08
6059,2004400,PEMA023007400,10000,2453,24530000,2020-08-14,2020-08-17,CSA5000,2020-08
6060,2002200,PEMA023007400,10000,2643,26430000,2020-08-20,2020-08-23,CSA5000,2020-08
6086,2003900,PEMA043042900,7000,2163,15141000,2020-06-04,2020-06-07,CSA5000,2020-06
6087,2004300,PEMA043042900,7000,2594,18158000,2020-06-19,2020-06-22,CSA5000,2020-06
6089,2004100,PEMA043042900,7000,1526,10682000,2020-07-14,2020-07-17,CSA5000,2020-07
6090,2003900,PEMA043042900,7000,2163,15141000,2020-08-04,2020-08-07,CSA5000,2020-08
6091,2004300,PEMA043042900,7000,2594,18158000,2020-08-19,2020-08-22,CSA5000,2020-08
6109,2005100,PEMA013017200,10000,2318,23180000,2020-06-08,2020-06-11,PEMA-HR1000,2020-06
6111,2003600,PEMA013017200,10000,1734,17340000,2020-07-21,2020-07-24,PEMA-HR1000,2020-07
6112,2005100,PEMA013017200,10000,2318,23180000,2020-08-08,2020-08-11,PEMA-HR1000,2020-08
6123,2006800,PEMA053013600,8000,2693,21544000,2020-06-21,2020-06-24,PEMA-HR1000,2020-06
6125,2006800,PEMA053013600,8000,2693,21544000,2020-08-21,2020-08-24,PEMA-HR1000,2020-08
6139,2004800,PEMA013023005,7000,2244,15708000,2020-06-06,2020-06-09,PEMA-HR1000,2020-06
6141,2004500,PEMA013023005,7000,1815,12705000,2020-07-23,2020-07-26,PEMA-HR1000,2020-07
6142,2004800,PEMA013023005,7000,2244,15708000,2020-08-06,2020-08-09,PEMA-HR1000,2020-08
6160,2005200,PEMA023123200,10000,2106,21060000,2020-06-01,2020-06-04,PEMA-HR1000,2020-06
6162,2005200,PEMA023123200,10000,2106,21060000,2020-08-01,2020-08-04,PEMA-HR1000,2020-08
6176,2004200,PEMA023099800,10000,2167,21670000,2020-06-04,2020-06-07,PEMA-HR1000,2020-06
6177,2006000,PEMA023099800,10000,2611,26110000,2020-06-19,2020-06-22,PEMA-HR1000,2020-06
6178,2006000,PEMA023099800,10000,1262,12620000,2020-07-03,2020-07-06,PEMA-HR1000,2020-07
6179,2004800,PEMA023099800,10000,1605,16050000,2020-07-16,2020-07-19,PEMA-HR1000,2020-07
6180,2004200,PEMA023099800,10000,2167,21670000,2020-08-04,2020-08-07,PEMA-HR1000,2020-08
6181,2006000,PEMA023099800,10000,2611,26110000,2020-08-19,2020-08-22,PEMA-HR1000,2020-08
6199,2005900,PEMA023087900,10000,2326,23260000,2020-06-08,2020-06-11,PEMA-HR1500,2020-06
6200,2006100,PEMA023087900,10000,1263,12630000,2020-07-03,2020-07-06,PEMA-HR1500,2020-07
6201,2001400,PEMA023087900,10000,1784,17840000,2020-07-22,2020-07-25,PEMA-HR1500,2020-07
6202,2005900,PEMA023087900,10000,2326,23260000,2020-08-08,2020-08-11,PEMA-HR1500,2020-08
6215,2006200,PEMA013030801,10000,1264,12640000,2020-07-03,2020-07-06,PEMA-HR1500,2020-07
6236,2003400,PEMA013123501,5000,2371,11855000,2020-06-11,2020-06-14,PEMA-PCR3000E,2020-06
6237,2004500,PEMA013123501,6000,2525,15150000,2020-06-15,2020-06-18,PEMA-PCR3000E,2020-06
6238,2006300,PEMA013123501,5000,1265,6325000,2020-07-03,2020-07-06,PEMA-PCR3000E,2020-07
6239,2007700,PEMA013123501,5000,1495,7475000,2020-07-11,2020-07-14,PEMA-PCR3000E,2020-07
6240,2001700,PEMA013123501,5000,1787,8935000,2020-07-22,2020-07-25,PEMA-PCR3000E,2020-07
6241,2002800,PEMA013123501,5000,2081,10405000,2020-07-31,2020-08-03,PEMA-PCR3000E,2020-07
6242,2003400,PEMA013123501,5000,2371,11855000,2020-08-11,2020-08-14,PEMA-PCR3000E,2020-08
6243,2004500,PEMA013123501,6000,2525,15150000,2020-08-15,2020-08-18,PEMA-PCR3000E,2020-08
6266,2006400,PEMA093050413,14000,1266,17724000,2020-07-02,2020-07-05,PR1000,2020-07
6267,2004100,PEMA093050413,14000,1455,20370000,2020-07-10,2020-07-13,PR1000,2020-07
6268,2004104,PEMA093050413,14000,1456,20384000,2020-07-10,2020-07-13,PR1000,2020-07
6293,2006400,PEMA013033302,15000,2260,33900000,2020-06-06,2020-06-09,PEMA-PR1000,2020-06
6294,2007000,PEMA013033302,15000,2482,37230000,2020-06-14,2020-06-17,PEMA-PR1000,2020-06
6295,2006700,PEMA013033302,13000,2707,35191000,2020-06-21,2020-06-24,PEMA-PR1000,2020-06
6296,2006800,PEMA013033302,13000,2708,35204000,2020-06-21,2020-06-24,PEMA-PR1000,2020-06
6297,2006500,PEMA013033302,15000,1267,19005000,2020-07-03,2020-07-06,PEMA-PR1000,2020-07
6298,2006600,PEMA013033302,10000,1268,12680000,2020-07-03,2020-07-06,PEMA-PR1000,2020-07
6299,2005800,PEMA013033302,15000,1544,23160000,2020-07-14,2020-07-17,PEMA-PR1000,2020-07
6300,2002300,PEMA013033302,15000,2005,30075000,2020-07-29,2020-08-01,PEMA-PR1000,2020-07
6301,2006400,PEMA013033302,15000,2260,33900000,2020-08-06,2020-08-09,PEMA-PR1000,2020-08
6302,2007000,PEMA013033302,15000,2482,37230000,2020-08-14,2020-08-17,PEMA-PR1000,2020-08
6303,2006700,PEMA013033302,13000,2707,35191000,2020-08-21,2020-08-24,PEMA-PR1000,2020-08
6304,2006800,PEMA013033302,13000,2708,35204000,2020-08-21,2020-08-24,PEMA-PR1000,2020-08
6327,2006606,TSN4012001215,10000,1269,12690000,2020-07-03,2020-07-06,PEMA-SN400,2020-07
6335,2006100,TSN4012015714,8000,2186,17488000,2020-06-04,2020-06-07,PEMA-SN400,2020-06
6336,2006609,TSN4012015714,8000,1270,10160000,2020-07-03,2020-07-06,PEMA-SN400,2020-07
6337,2006100,TSN4012015714,8000,2186,17488000,2020-08-04,2020-08-07,PEMA-SN400,2020-08
6352,2007800,PEMA013116420,5000,2632,13160000,2020-06-19,2020-06-22,PEMA-SR2000,2020-06
6353,2006800,PEMA013116420,5000,1273,6365000,2020-07-03,2020-07-06,PEMA-SR2000,2020-07
6354,2003200,PEMA013116420,5000,1588,7940000,2020-07-15,2020-07-18,PEMA-SR2000,2020-07
6355,2002600,PEMA013116420,5000,2008,10040000,2020-07-29,2020-08-01,PEMA-SR2000,2020-07
6356,2007800,PEMA013116420,5000,2632,13160000,2020-08-19,2020-08-22,PEMA-SR2000,2020-08
6373,2001400,PEMA013042200,7000,2636,18452000,2020-06-19,2020-06-22,PEMA-SR3000F,2020-06
6374,2006900,PEMA013042200,7000,1274,8918000,2020-07-03,2020-07-06,PEMA-SR3000F,2020-07
6375,2001102,PEMA013042200,7000,1923,13461000,2020-07-25,2020-07-28,PEMA-SR3000F,2020-07
6376,2001400,PEMA013042200,7000,2636,18452000,2020-08-19,2020-08-22,PEMA-SR3000F,2020-08
6391,2007600,PEMA013072101,10000,2559,25590000,2020-06-16,2020-06-19,PEMA-SR3000F,2020-06
6392,2007000,PEMA013072101,10000,1275,12750000,2020-07-03,2020-07-06,PEMA-SR3000F,2020-07
6393,2004200,PEMA013072101,10000,1883,18830000,2020-07-24,2020-07-27,PEMA-SR3000F,2020-07
6394,2007600,PEMA013072101,10000,2559,25590000,2020-08-16,2020-08-19,PEMA-SR3000F,2020-08
6408,2007700,PEMA043069403,10000,1282,12820000,2020-07-04,2020-07-07,CSA5000,2020-07
6409,2001300,PEMA043069403,10000,1641,16410000,2020-07-17,2020-07-20,CSA5000,2020-07
6418,2001500,PEMA023039000,10000,2566,25660000,2020-06-18,2020-06-21,CSA5000,2020-06
6419,2001200,PEMA023039000,10000,1285,12850000,2020-07-04,2020-07-07,CSA5000,2020-07
6420,2001500,PEMA023039000,10000,2566,25660000,2020-08-18,2020-08-21,CSA5000,2020-08
6440,2006500,PEMA013117801,7000,2545,17815000,2020-06-15,2020-06-18,PEMA-HR1000,2020-06
6441,2002800,PEMA013117801,7000,2649,18543000,2020-06-19,2020-06-22,PEMA-HR1000,2020-06
6442,2001300,PEMA013117801,7000,1286,9002000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6443,2004100,PEMA013117801,7000,1739,12173000,2020-07-21,2020-07-24,PEMA-HR1000,2020-07
6444,2007200,PEMA013117801,7000,1987,13909000,2020-07-29,2020-08-01,PEMA-HR1000,2020-07
6446,2006500,PEMA013117801,7000,2545,17815000,2020-08-15,2020-08-18,PEMA-HR1000,2020-08
6447,2002800,PEMA013117801,7000,2649,18543000,2020-08-19,2020-08-22,PEMA-HR1000,2020-08
6465,2001500,PEMA363048300,6000,1288,7728000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6485,2006000,PEMA093001100,10000,2114,21140000,2020-06-01,2020-06-04,PEMA-HR1000,2020-06
6486,2001600,PEMA093001100,8000,1289,10312000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6487,2001700,PEMA093001100,2000,1290,2580000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6488,2003200,PEMA093001100,5000,1446,7230000,2020-07-10,2020-07-13,PEMA-HR1000,2020-07
6489,2003300,PEMA093001100,5000,1447,7235000,2020-07-10,2020-07-13,PEMA-HR1000,2020-07
6490,2004500,PEMA093001100,10000,1744,17440000,2020-07-21,2020-07-24,PEMA-HR1000,2020-07
6491,2006000,PEMA093001100,10000,2114,21140000,2020-08-01,2020-08-04,PEMA-HR1000,2020-08
6512,2005100,PEMA033028900,10000,2176,21760000,2020-06-04,2020-06-07,PEMA-HR1000,2020-06
6513,2001800,PEMA033028900,10000,1291,12910000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6514,2007600,PEMA033028900,10000,1991,19910000,2020-07-29,2020-08-01,PEMA-HR1000,2020-07
6515,2005100,PEMA033028900,10000,2176,21760000,2020-08-04,2020-08-07,PEMA-HR1000,2020-08
6530,2002000,PEMA013019701,10000,1292,12920000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6531,2004600,PEMA013019701,10000,1745,17450000,2020-07-21,2020-07-24,PEMA-HR1000,2020-07
6532,2003100,PEMA013019701,10000,2652,26520000,2020-08-20,2020-08-23,PEMA-HR1000,2020-08
6550,2005600,PEMA013037300,10000,2110,21100000,2020-06-01,2020-06-04,PEMA-HR1000,2020-06
6551,2005700,PEMA013037300,5000,2111,10555000,2020-06-01,2020-06-04,PEMA-HR1000,2020-06
6552,2002100,PEMA013037300,5000,1293,6465000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6553,2002200,PEMA013037300,5000,1294,6470000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6554,2005600,PEMA013037300,10000,2110,21100000,2020-08-01,2020-08-04,PEMA-HR1000,2020-08
6555,2005700,PEMA013037300,5000,2111,10555000,2020-08-01,2020-08-04,PEMA-HR1000,2020-08
6582,2007500,PEMA013050400,7000,2203,15421000,2020-06-04,2020-06-07,PEMA-HR1000,2020-06
6583,2002200,PEMA013050400,7000,2359,16513000,2020-06-11,2020-06-14,PEMA-HR1000,2020-06
6584,2002600,PEMA013050400,7000,2505,17535000,2020-06-15,2020-06-18,PEMA-HR1000,2020-06
6585,2002600,PEMA013050400,7000,2647,18529000,2020-06-19,2020-06-22,PEMA-HR1000,2020-06
6586,2002300,PEMA013050400,7000,1295,9065000,2020-07-04,2020-07-07,PEMA-HR1000,2020-07
6587,2004500,PEMA013050400,7000,1531,10717000,2020-07-14,2020-07-17,PEMA-HR1000,2020-07
6588,2005600,PEMA013050400,7000,1684,11788000,2020-07-17,2020-07-20,PEMA-HR1000,2020-07
6589,2006600,PEMA013050400,7000,1765,12355000,2020-07-21,2020-07-24,PEMA-HR1000,2020-07
6590,2007500,PEMA013050400,7000,2203,15421000,2020-08-04,2020-08-07,PEMA-HR1000,2020-08
6591,2002200,PEMA013050400,7000,2359,16513000,2020-08-11,2020-08-14,PEMA-HR1000,2020-08
6592,2002600,PEMA013050400,7000,2505,17535000,2020-08-15,2020-08-18,PEMA-HR1000,2020-08
6593,2002600,PEMA013050400,7000,2647,18529000,2020-08-19,2020-08-22,PEMA-HR1000,2020-08
6617,2006000,PEMA033027400,10000,2327,23270000,2020-06-08,2020-06-11,PEMA-HR1500,2020-06
6618,2002500,PEMA033027400,10000,1297,12970000,2020-07-04,2020-07-07,PEMA-HR1500,2020-07
6619,2006000,PEMA033027400,10000,2327,23270000,2020-08-08,2020-08-11,PEMA-HR1500,2020-08
6633,2005700,PEMA013041301,15000,2253,33795000,2020-06-06,2020-06-09,PEMA-HR1500,2020-06
6634,2006609,PEMA013041301,15000,2619,39285000,2020-06-19,2020-06-22,PEMA-HR1500,2020-06
6635,2002700,PEMA013041301,15000,1299,19485000,2020-07-04,2020-07-07,PEMA-HR1500,2020-07
6636,2004901,PEMA013041301,15000,1748,26220000,2020-07-21,2020-07-24,PEMA-HR1500,2020-07
6637,2005700,PEMA013041301,15000,2253,33795000,2020-08-06,2020-08-09,PEMA-HR1500,2020-08
6638,2006609,PEMA013041301,15000,2619,39285000,2020-08-19,2020-08-22,PEMA-HR1500,2020-08
6653,2007600,TSN4012032804,7000,2133,14931000,2020-06-01,2020-06-04,PEMA-SN400,2020-06
6654,2002900,TSN4012032804,7000,1301,9107000,2020-07-04,2020-07-07,PEMA-SN400,2020-07
6655,2007600,TSN4012032804,7000,2133,14931000,2020-08-01,2020-08-04,PEMA-SN400,2020-08
6663,2003000,TSN4012039101,3000,1302,3906000,2020-07-04,2020-07-07,PEMA-SN400,2020-07
6669,2003100,PEMA013061400,5000,1303,6515000,2020-07-04,2020-07-07,PEMA-SR2000,2020-07
6681,2003200,PEMA043037801,2000,1304,2608000,2020-07-04,2020-07-07,PEMA-SR2000,2020-07
6682,2006900,PEMA043037801,2000,1629,3258000,2020-07-16,2020-07-19,PEMA-SR2000,2020-07
6683,2003700,PEMA043037801,3000,2090,6270000,2020-07-31,2020-08-03,PEMA-SR2000,2020-07
6699,2006600,PEMA033109400,5000,2191,10955000,2020-06-04,2020-06-07,PEMA-SR3000F,2020-06
6700,2007700,PEMA033109400,5000,2560,12800000,2020-06-16,2020-06-19,PEMA-SR3000F,2020-06
6701,2003300,PEMA033109400,5000,1305,6525000,2020-07-04,2020-07-07,PEMA-SR3000F,2020-07
6702,2003400,PEMA033109400,7000,1590,11130000,2020-07-15,2020-07-18,PEMA-SR3000F,2020-07
6703,2006600,PEMA033109400,5000,2191,10955000,2020-08-04,2020-08-07,PEMA-SR3000F,2020-08
6704,2007700,PEMA033109400,5000,2560,12800000,2020-08-16,2020-08-19,PEMA-SR3000F,2020-08
6720,2004100,PEMA023076910,10000,2165,21650000,2020-06-04,2020-06-07,CSA5000,2020-06
6721,2002000,PEMA023076910,10000,2641,26410000,2020-06-19,2020-06-22,CSA5000,2020-06
6722,2003600,PEMA023076910,10000,1308,13080000,2020-07-05,2020-07-08,CSA5000,2020-07
6723,2004100,PEMA023076910,10000,2165,21650000,2020-08-04,2020-08-07,CSA5000,2020-08
6724,2002000,PEMA023076910,10000,2641,26410000,2020-08-19,2020-08-22,CSA5000,2020-08
6744,2007302,PEMA023109400,5000,2414,12070000,2020-06-13,2020-06-16,PEMA-HR1000,2020-06
6746,2003700,PEMA023109400,10000,1309,13090000,2020-07-05,2020-07-08,PEMA-HR1000,2020-07
6747,2007100,PEMA023109400,5000,1773,8865000,2020-07-22,2020-07-25,PEMA-HR1000,2020-07
6748,2004600,PEMA023109400,5000,2029,10145000,2020-07-30,2020-08-02,PEMA-HR1000,2020-07
6749,2007302,PEMA023109400,5000,2414,12070000,2020-08-13,2020-08-16,PEMA-HR1000,2020-08
6750,2003200,PEMA023109400,10000,2653,26530000,2020-08-20,2020-08-23,PEMA-HR1000,2020-08
6774,2005400,PEMA013119500,10000,2463,24630000,2020-06-14,2020-06-17,PEMA-HR1000,2020-06
6775,2003800,PEMA013119500,10000,1310,13100000,2020-07-05,2020-07-08,PEMA-HR1000,2020-07
6776,2003300,PEMA013119500,10000,1660,16600000,2020-07-17,2020-07-20,PEMA-HR1000,2020-07
6777,2007500,PEMA013119500,10000,2061,20610000,2020-07-31,2020-08-03,PEMA-HR1000,2020-07
6778,2005400,PEMA013119500,10000,2463,24630000,2020-08-14,2020-08-17,PEMA-HR1000,2020-08
6795,2007100,PEMA013035322,7000,2554,17878000,2020-06-16,2020-06-19,PEMA-HR1500,2020-06
6796,2004000,PEMA013035322,7000,1312,9184000,2020-07-05,2020-07-08,PEMA-HR1500,2020-07
6797,2005000,PEMA013035322,7000,1820,12740000,2020-07-23,2020-07-26,PEMA-HR1500,2020-07
6798,2007100,PEMA013035322,7000,2554,17878000,2020-08-16,2020-08-19,PEMA-HR1500,2020-08
6816,2006600,PEMA053062006,7000,2262,15834000,2020-06-06,2020-06-09,PEMA-SR2000,2020-06
6817,2005900,PEMA053062006,7000,2397,16779000,2020-06-12,2020-06-15,PEMA-SR2000,2020-06
