,거래처코드,제품코드,수주량,수주단가,수주금액,수주일자,납기일자,제품명,수주월
552,2005900,PEMA033046500,10000,1900,19000000,2020-02-04,2020-02-07,PEMA-HR1000,2020-02
556,2004700,PEMA033046500,15000,2172,32580000,2020-02-11,2020-02-14,PEMA-HR1000,2020-02
557,2005000,PEMA033046500,10000,2246,22460000,2020-02-13,2020-02-16,PEMA-HR1000,2020-02
559,2004300,PEMA033046500,5000,2381,11905000,2020-02-19,2020-02-22,PEMA-HR1000,2020-02
561,2006609,PEMA033046500,10000,1057,10570000,2020-02-23,2020-02-26,PEMA-HR1000,2020-02
658,2004700,PEMA033046500,15000,2172,32580000,2020-12-04,2020-12-07,PEMA-HR1000,2020-12
659,2005000,PEMA033046500,10000,2246,22460000,2020-12-06,2020-12-09,PEMA-HR1000,2020-12
661,2004300,PEMA033046500,5000,2381,11905000,2020-12-12,2020-12-15,PEMA-HR1000,2020-12
662,2003300,PEMA033046500,10000,2512,25120000,2020-12-15,2020-12-18,PEMA-HR1000,2020-12
663,2006400,PEMA033046500,5000,2615,13075000,2020-12-19,2020-12-22,PEMA-HR1000,2020-12
665,2004300,PEMA033046500,5000,2381,11905000,2020-12-22,2020-12-25,PEMA-HR1000,2020-12
666,2003300,PEMA033046500,10000,2512,25120000,2020-12-25,2020-12-28,PEMA-HR1000,2020-12
667,2006400,PEMA033046500,5000,2615,13075000,2020-12-29,2021-01-01,PEMA-HR1000,2020-12
668,2007000,PEMA033046500,10000,2695,26950000,2020-12-31,2021-01-03,PEMA-HR1000,2020-12
676,2002200,PEMA013105210,10000,1223,12230000,2020-01-12,2020-01-15,PEMA-HR1000,2020-01
678,2006700,PEMA013105210,9000,1485,13365000,2020-01-21,2020-01-24,PEMA-HR1000,2020-01
681,2002000,PEMA013105210,9000,1931,17379000,2020-02-05,2020-02-07,PEMA-HR1000,2020-02
733,2002600,PEMA013105210,9000,2576,23184000,2020-12-18,2020-12-21,PEMA-HR1000,2020-12
734,2002600,PEMA013105210,9000,2576,23184000,2020-12-28,2020-12-31,PEMA-HR1000,2020-12
755,2005000,PEMA033030500,12000,1749,20988000,2020-01-31,2020-02-03,PEMA-HR1500,2020-01
785,2007400,PEMA053046500,7000,1137,7959000,2020-01-03,2020-01-06,PEMA-HR1500,2020-01
786,2007600,PEMA053046500,5000,1210,6050000,2020-01-11,2020-01-14,PEMA-HR1500,2020-01
787,2002800,PEMA053046500,5000,1300,6500000,2020-01-14,2020-01-17,PEMA-HR1500,2020-01
789,2007600,PEMA053046500,7000,1494,10458000,2020-01-21,2020-01-24,PEMA-HR1500,2020-01
791,2004700,PEMA053046500,5000,1746,8730000,2020-01-31,2020-02-03,PEMA-HR1500,2020-01
794,2005200,PEMA053046500,3000,2177,6531000,2020-02-11,2020-02-14,PEMA-HR1500,2020-02
795,2005900,PEMA053046500,5000,2255,11275000,2020-02-13,2020-02-16,PEMA-HR1500,2020-02
796,2006100,PEMA053046500,3000,2328,6984000,2020-02-15,2020-02-18,PEMA-HR1500,2020-02
797,2005100,PEMA053046500,7000,2389,16723000,2020-02-19,2020-02-22,PEMA-HR1500,2020-02
799,2007400,PEMA053046500,7000,1137,7959000,2020-02-24,2020-02-27,PEMA-HR1500,2020-02
872,2005200,PEMA053046500,3000,2177,6531000,2020-12-04,2020-12-07,PEMA-HR1500,2020-12
873,2005900,PEMA053046500,5000,2255,11275000,2020-12-06,2020-12-09,PEMA-HR1500,2020-12
874,2006100,PEMA053046500,3000,2328,6984000,2020-12-08,2020-12-11,PEMA-HR1500,2020-12
