,수주량,평균온도,일강수량,상대습도,최심적설,기준금리,착공지수,출하량,예상중량,AE,ARE-580FX,CSA4000,CSA5000,PEMA-500FR,PEMA-580FX,PEMA-CR1000,PEMA-CSA5000,PEMA-HR1000,PEMA-HR1000S,PEMA-HR1500,PEMA-PCM2000,PEMA-PCM2000B,PEMA-PCR3000E,PEMA-PCR3000N,PEMA-PR1000,PEMA-PR2000,PEMA-SN400,PEMA-SP1000,PEMA-SPR,PEMA-SR2000,PEMA-SR2000A,PEMA-SR3000F,PEMA-SR5000F,PR1000,SRE-110,SRE-200
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-903.524043168332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-121.34635400989843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-281.88565631419453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,-130.3247715911243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,80.42859196297567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,328.04069812869733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0.0,-5.902689900130804,0.0,63.4411002561862,0.3604381577842601,1.0,0.0,399.631751856757,600.7164922409737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,203788.25408935547,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,52602.59354740658,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,65081.381103515625,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,48006.83287540613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,21780.46209716797,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,851.9340274947144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-18,40554.45166015625,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,40172.14566611201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-18,7491.0341796875,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,7368.693233423768,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,144347.59313964844,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,100954.84029491048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,36040.05389404297,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,35416.7588075758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,58862.27099609375,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,53076.40793407899,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,13687.574523925781,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,20628.04728168404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,-2332.099134693208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,125395.7900390625,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,87990.32676912856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,10794.118835449219,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,7069.794549011858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-01-18,12970.253479003906,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,17451.62196681309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-01-18,15309.699768066406,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,19198.84498313653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,8622.924926757812,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,9331.86777617252,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,29101.581909179688,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,31832.732634253796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,-9761.639663353526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-18,6127.983215332031,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,9646.192745487966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,2812.033935546875,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,5626.390075213354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,1061.282482468998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,1232.8754941467218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,173.69191082566266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,-101.67998277569092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,-226.6373312596231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,43.25441995084273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,112.3973581972078,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,0.0,1.7355055885910016,0.0,59.59513441899594,0.1855593185997632,1.0,0.0,470.3080967468693,233.640686482306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,336706.8913574219,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,245838.6154072305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,85500.2211303711,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,80386.26993016127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,68694.83294677734,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,71115.71125861004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-01-25,30787.443420410156,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,29390.68300937277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-01-25,10647.350769042969,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,15065.50295896098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,211119.60833740234,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,199611.8496459555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,21632.045349121094,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,17999.41343369354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,30409.396606445312,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,15577.167254133885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,3518.1964721679688,6.572498069794007,1.2442453866011784,78.36594564426201,0.1078795426921845,1.0,0.0,492.97191464902784,9271.260552649788,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
