,상대습도,일강수량,최심적설,평균온도,기준금리,연면적별,거래처코드,제품명,수주량
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001102,AE,3000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001102,CSA5000,23000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001102,PEMA-HR1000,7000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001102,PEMA-HR1500,4000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001102,PEMA-PR1000,20000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001102,PEMA-SR2000,7000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001200,AE,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001200,CSA5000,20000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001200,PEMA-HR1000,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001200,PEMA-HR1500,4000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001200,PEMA-SR2000,5000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001200,PEMA-SR3000F,7000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001300,CSA5000,18000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001300,PEMA-HR1000,17000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001300,PEMA-HR1500,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001300,PEMA-SN400,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001300,PEMA-SR2000,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001300,PEMA-SR5000F,10000
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,2001400,CSA5000,10000
